language_code,word,pinyin,meaning_en,frequency_rank,source_freq,source_dict
zh,的,de5,of; ~'s,1,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,我,wo3,I; me; my,2,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,你,ni3,you,3,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,了,liao3,finish,4,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,是,shi4,be,5,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,在,zai4,exist; to be alive,6,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,他,ta1,he; him; his,7,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,我们,wo3 men5,we; us; ourselves; our,8,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,不,bu4,no; not so,9,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,吗,ma2,what?,10,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,好,hao3,good,11,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,什么,shen2 me5,what?,12,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,有,you3,have; there is,13,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,就,jiu4,in that case; then,14,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,吧,ba1,bar,15,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,她,ta1,she,16,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,这,zhe4,this; these,17,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,知道,zhi1 dao4,know; to become aware of,18,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,说,shui4,persuade,19,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,都,Du1,surname Du,20,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,去,qu4,go,21,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,很,hen3,very; quite,22,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,啊,a1,interjection of surprise,23,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,要,yao1,to demand; to coerce,24,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,也,Ye3,surname Ye,25,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,他们,ta1 men5,they; them,26,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,和,he2,old variant of 和[he2],27,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,那,Na1,surname Na,28,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,想,xiang3,think,29,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,人,ren2,person; people,30,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,会,hui4,can; to have the skill; to know how to,31,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,一个,yi1 ge5,a; an; one,32,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,来,lai2,come,33,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,把,ba3,hold; to grasp,34,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,对,dui4,right; correct,35,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,没有,mei2 you3,haven't,36,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,做,zuo4,make; to produce,37,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,不是,bu4 shi4,no,38,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,让,rang4,yield,39,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,给,gei3,to,40,hermitdave-frequencywords-zh_cn-50k,cc-cedict
zh,可以,ke3 yi3,can,41,hermitdave-frequencywords-zh_cn-50k,cc-cedict
