language_code,word,pinyin,meaning_en,frequency_rank,source_freq,source_dict
en,you,,the person being addressed,1,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,i,,the speaker,2,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,the,,definite article,3,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,to,,toward; in order to,4,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,a,,indefinite article,5,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,it,,thing or situation,6,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,and,,used to connect words or ideas,7,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,that,,used to refer to something,8,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,of,,belonging to; relating to,9,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,is,,form of be,10,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,in,,inside; within,11,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,what,,which thing,12,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,we,,the speaker and others,13,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,me,,As the direct object of a verb,14,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,this,,the thing near or being discussed,15,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,he,,"The game of tag, or it, in which the player attempting to catch the others is called ""he""",16,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,for,,intended for; because of,17,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,my,,"Used to express surprise, shock or amazement",18,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,on,,on top of; about,19,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,have,,to possess; to experience,20,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,your,,belonging to you,21,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,do,,to perform,22,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,was,,past form of be,23,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,no,,A negating expression,24,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,not,,negative marker,25,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,be,,to exist,26,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,are,,"An accepted (but deprecated and rarely used) SI unit of area equal to 100 square metres, or a former",27,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,don,,"A university professor, particularly one at Oxford or Cambridge",28,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,know,,Knowledge,29,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,can,,to be able to,30,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,with,,accompanied by,31,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,but,,however; except,32,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,all,,the whole amount,33,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,so,,so,34,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,just,,just,35,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,there,,in that place,36,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,here,,here,37,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,they,,they,38,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,like,,like,39,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,get,,get,40,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,she,,female person previously mentioned,41,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,go,,go,42,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,if,,in the case that,43,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,right,,right,44,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,out,,to the outside,45,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,about,,concerning; approximately,46,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,up,,toward a higher place,47,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,at,,in or near a place,48,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,him,,him,49,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,now,,now,50,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,oh,,oh,51,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,one,,single unit,52,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,come,,come,53,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,well,,well,54,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,her,,her,55,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,how,,in what way,56,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,yeah,,yeah,57,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,will,,future marker; intention,58,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,got,,got,59,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,want,,want,60,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,think,,think,61,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,as,,in the role of; like,62,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,see,,see,63,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,did,,did,64,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,good,,good,65,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,who,,who,66,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,why,,why,67,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,from,,starting point,68,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,let,,let,69,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,his,,his,70,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,yes,,yes,71,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,when,,at what time,72,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,going,,going,73,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,time,,time,74,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,an,,an,75,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,okay,,okay,76,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,back,,back,77,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,look,,look,78,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,us,,us,79,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,would,,would,80,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,them,,them,81,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,where,,where,82,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,were,,past plural form of be,83,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,take,,take,84,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,then,,then,85,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,had,,past form of have,86,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,or,,alternative,87,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,been,,been,88,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,our,,our,89,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,gonna,,gonna,90,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,tell,,tell,91,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,really,,really,92,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,man,,man,93,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,some,,some,94,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,say,,say,95,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,hey,,hey,96,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,could,,could,97,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,didn,,didn,98,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,by,,next to; through the action of,99,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,need,,need,100,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,something,,something,101,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,has,,has,102,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,too,,too,103,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,more,,more,104,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,way,,way,105,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,down,,down,106,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,make,,make,107,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,very,,very,108,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,never,,never,109,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,only,,only,110,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,people,,people,111,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,over,,over,112,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,because,,because,113,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,little,,little,114,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,please,,please,115,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,love,,love,116,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,should,,should,117,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,mean,,mean,118,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,said,,past form of say,119,hermitdave-frequencywords-en-50k,dictionaryapi-dev
en,sorry,,sorry,120,hermitdave-frequencywords-en-50k,dictionaryapi-dev
